time	V(vout1)
5.119823107177344e-003	8.210734e-003
5.130063107177283e-003	8.561401e-003
5.140303107177223e-003	8.876937e-003
5.150543107177162e-003	9.156037e-003
5.160783107177101e-003	9.397544e-003
5.171023107177040e-003	9.600456e-003
5.181263107176979e-003	9.763934e-003
5.191503107176919e-003	9.887298e-003
5.201743107176858e-003	9.970037e-003
5.211983107176797e-003	1.001181e-002
5.222223107176736e-003	1.001244e-002
5.232463107176675e-003	9.971918e-003
5.242703107176614e-003	9.890419e-003
5.252943107176554e-003	9.768276e-003
5.263183107176493e-003	9.605993e-003
5.273423107176432e-003	9.404239e-003
5.283663107176371e-003	9.163849e-003
5.293903107176310e-003	8.885816e-003
5.304143107176250e-003	8.571289e-003
5.314383107176189e-003	8.221569e-003
5.324623107176128e-003	7.838100e-003
5.334863107176067e-003	7.422470e-003
5.345103107176006e-003	6.976395e-003
5.355343107175946e-003	6.501722e-003
5.365583107175885e-003	6.000413e-003
5.375823107175824e-003	5.474540e-003
5.386063107175763e-003	4.926280e-003
5.396303107175702e-003	4.357899e-003
5.406543107175641e-003	3.771747e-003
5.416783107175581e-003	3.170251e-003
5.427023107175520e-003	2.555896e-003
5.437263107175459e-003	1.931224e-003
5.447503107175398e-003	1.298819e-003
5.457743107175337e-003	6.612961e-004
5.467983107175277e-003	2.129255e-005
5.478223107175216e-003	-6.185448e-004
5.488463107175155e-003	-1.255569e-003
5.498703107175094e-003	-1.887146e-003
5.508943107175033e-003	-2.510664e-003
5.519183107174972e-003	-3.123543e-003
5.529423107174912e-003	-3.723248e-003
5.539663107174851e-003	-4.307299e-003
5.549903107174790e-003	-4.873281e-003
5.560143107174729e-003	-5.418853e-003
5.570383107174668e-003	-5.941758e-003
5.580623107174608e-003	-6.439834e-003
5.590863107174547e-003	-6.911021e-003
5.601103107174486e-003	-7.353371e-003
5.611343107174425e-003	-7.765054e-003
5.621583107174364e-003	-8.144367e-003
5.631823107174304e-003	-8.489745e-003
5.642063107174243e-003	-8.799756e-003
5.652303107174182e-003	-9.073121e-003
5.662543107174121e-003	-9.308709e-003
5.672783107174060e-003	-9.505547e-003
5.683023107173999e-003	-9.662821e-003
5.693263107173939e-003	-9.779883e-003
5.703503107173878e-003	-9.856247e-003
5.713743107173817e-003	-9.891602e-003
5.723983107173756e-003	-9.885801e-003
5.734223107173695e-003	-9.838869e-003
5.744463107173635e-003	-9.751001e-003
5.754703107173574e-003	-9.622565e-003
5.764943107173513e-003	-9.454090e-003
5.775183107173452e-003	-9.246277e-003
5.785423107173391e-003	-8.999986e-003
5.795663107173331e-003	-8.716238e-003
5.805903107173270e-003	-8.396207e-003
5.816143107173209e-003	-8.041222e-003
5.826383107173148e-003	-7.652751e-003
5.836623107173087e-003	-7.232402e-003
5.846863107173026e-003	-6.781918e-003
5.857103107172966e-003	-6.303163e-003
5.867343107172905e-003	-5.798119e-003
5.877583107172844e-003	-5.268879e-003
5.887823107172783e-003	-4.717633e-003
5.898063107172722e-003	-4.146664e-003
5.908303107172662e-003	-3.558335e-003
5.918543107172601e-003	-2.955084e-003
5.928783107172540e-003	-2.339406e-003
5.939023107172479e-003	-1.713852e-003
5.949263107172418e-003	-1.081011e-003
5.959503107172358e-003	-4.435030e-004
5.969743107172297e-003	1.960322e-004
5.979983107172236e-003	8.349470e-004
5.990223107172175e-003	1.470596e-003
6.000463107172114e-003	2.100348e-003
6.010703107172053e-003	2.721596e-003
6.020943107171993e-003	3.331767e-003
6.031183107171932e-003	3.928335e-003
6.041423107171871e-003	4.508832e-003
6.051663107171810e-003	5.070851e-003
6.061903107171749e-003	5.612068e-003
6.072143107171689e-003	6.130241e-003
6.082383107171628e-003	6.623225e-003
6.092623107171567e-003	7.088978e-003
6.102863107171506e-003	7.525572e-003
6.113103107171445e-003	7.931199e-003
6.123343107171385e-003	8.304180e-003
6.133583107171324e-003	8.642968e-003
6.143823107171263e-003	8.946163e-003
6.154063107171202e-003	9.212507e-003
6.164303107171141e-003	9.440897e-003
6.174543107171080e-003	9.630388e-003
6.184783107171020e-003	9.780193e-003
6.195023107170959e-003	9.889691e-003
6.205263107170898e-003	9.958429e-003
6.215503107170837e-003	9.986121e-003
6.225743107170776e-003	9.972651e-003
6.235983107170716e-003	9.918073e-003
6.246223107170655e-003	9.822614e-003
6.256463107170594e-003	9.686665e-003
6.266703107170533e-003	9.510788e-003
6.276943107170472e-003	9.295712e-003
6.287183107170411e-003	9.042324e-003
6.297423107170351e-003	8.751672e-003
6.307663107170290e-003	8.424956e-003
6.317903107170229e-003	8.063530e-003
6.328143107170168e-003	7.668886e-003
6.338383107170107e-003	7.242657e-003
6.348623107170047e-003	6.786606e-003
6.358863107169986e-003	6.302619e-003
6.369103107169925e-003	5.792698e-003
6.379343107169864e-003	5.258951e-003
6.389583107169803e-003	4.703586e-003
6.399823107169743e-003	4.128901e-003
6.410063107169682e-003	3.537272e-003
6.420303107169621e-003	2.931148e-003
6.430543107169560e-003	2.313034e-003
6.440783107169499e-003	1.685488e-003
6.451023107169438e-003	1.051105e-003
6.461263107169378e-003	4.125106e-004
6.471503107169317e-003	-2.276547e-004
6.481743107169256e-003	-8.667424e-004
6.491983107169195e-003	-1.502109e-003
6.502223107169134e-003	-2.131126e-003
6.512463107169074e-003	-2.751192e-003
6.522703107169013e-003	-3.359742e-003
6.532943107168952e-003	-3.954258e-003
6.543183107168891e-003	-4.532281e-003
6.553423107168830e-003	-5.091420e-003
6.563663107168770e-003	-5.629363e-003
6.573903107168709e-003	-6.143885e-003
6.584143107168648e-003	-6.632856e-003
6.594383107168587e-003	-7.094255e-003
6.604623107168526e-003	-7.526173e-003
6.614863107168465e-003	-7.926824e-003
6.625103107168405e-003	-8.294551e-003
6.635343107168344e-003	-8.627833e-003
6.645583107168283e-003	-8.925292e-003
6.655823107168222e-003	-9.185697e-003
6.666063107168161e-003	-9.407973e-003
6.676303107168101e-003	-9.591200e-003
6.686543107168040e-003	-9.734621e-003
6.696783107167979e-003	-9.837644e-003
6.707023107167918e-003	-9.899843e-003
6.717263107167857e-003	-9.920962e-003
6.727503107167797e-003	-9.900914e-003
6.737743107167736e-003	-9.839782e-003
6.747983107167675e-003	-9.737821e-003
6.758223107167614e-003	-9.595455e-003
6.768463107167553e-003	-9.413271e-003
6.778703107167492e-003	-9.192027e-003
6.788943107167432e-003	-8.932638e-003
6.799183107167371e-003	-8.636178e-003
6.809423107167310e-003	-8.303874e-003
6.819663107167249e-003	-7.937104e-003
6.829903107167188e-003	-7.537385e-003
6.840143107167128e-003	-7.106374e-003
6.850383107167067e-003	-6.645853e-003
6.860623107167006e-003	-6.157730e-003
6.870863107166945e-003	-5.644025e-003
6.881103107166884e-003	-5.106865e-003
6.891343107166824e-003	-4.548475e-003
6.901583107166763e-003	-3.971164e-003
6.911823107166702e-003	-3.377324e-003
6.922063107166641e-003	-2.769412e-003
6.932303107166580e-003	-2.149945e-003
6.942543107166519e-003	-1.521488e-003
6.952783107166459e-003	-8.866412e-004
6.963023107166398e-003	-2.480331e-004
